"","year","state","industry","unioncovpct_ind","state_cens","sector","nobs","empl","member","covered","pctmem","pctcov","state2","unioncovpct_state","unioncovpct_combined","idvar","naics","robotpct_ind","robotpct_state","robotpct_combined","stateyear","medianhouseinc","unemprate","femalepct","manufemp","healthins","oldage","wage"
"1",2018,"Alabama","Manufacturing",9.78059358894825,63,"Total",3024,1949296.08539166,180644.546125,196345.692308333,0.0926716849207878,0.100726455450058,"AL",10.0726455450058,9.92661956697702,"Alabama-Manufacturing-2018","31-33",23.2,28,25.6,"Alabama-2018",49.861,5.6,51.9,14.1,90,10.3,44.74
"2",2019,"Alabama","Manufacturing",9.47362035512924,63,"Total",3042,2041610.57678333,173820.561016667,200245.664458333,0.0851389393210411,0.0980822071433067,"AL",9.80822071433067,9.64092053472996,"Alabama-Manufacturing-2019","31-33",26,32.1,29.05,"Alabama-2019",51.734,4.9,52.7,14.5,90.3,10.5,45.8
"3",2020,"Alabama","Manufacturing",9.24318060278893,63,"Total",2667,1894331.489025,150823.563216667,163265.663975,0.0796183571219444,0.0861864313483238,"AL",8.61864313483238,8.93091186881065,"Alabama-Manufacturing-2020","31-33",23.5,25.7,24.6,"Alabama-2020",52.035,5.6,52.6,14.2,90.5,10.2,47.36
"4",2021,"Alabama","Manufacturing",8.67823101580143,63,"Total",2787,1937215.21134167,114509.334883333,133210.012133333,0.0591102801263332,0.0687636584043503,"AL",6.87636584043503,7.77729842811823,"Alabama-Manufacturing-2021","31-33",27.8,28.6,28.2,"Alabama-2021",53.913,5.3,53,13.8,90.1,11.4,49.05
"5",2019,"Alaska","Manufacturing",9.47362035512924,94,"Total",1711,282352.759958333,48363.4448333333,52810.2583833333,0.171287313103676,0.187036454677582,"AK",18.7036454677582,14.0886329114437,"Alaska-Manufacturing-2019","31-33",26,14,20,"Alaska-2019",75.463,5.8,61.4,4.2,87.8,6.9,45.87
"6",2020,"Alaska","Manufacturing",9.24318060278893,94,"Total",1578,280369.595008333,49281.3329416666,54544.9490166667,0.175772741436958,0.194546595215797,"AK",19.4546595215797,14.3489200621843,"Alaska-Manufacturing-2020","31-33",23.5,14.4,18.95,"Alaska-2020",77.79,7.2,63.5,3.8,87.4,6.5,50.03
"7",2021,"Alaska","Manufacturing",8.67823101580143,94,"Total",1521,292478.32065,45998.1556333333,50269.65845,0.157270312309265,0.171874821186066,"AK",17.1874821186066,12.932856567204,"Alaska-Manufacturing-2021","31-33",27.8,31.6,29.7,"Alaska-2021",77.845,7,62,4.9,88.6,8.5,50.6
"8",2018,"Arizona","Manufacturing",9.78059358894825,86,"Total",2489,2944673.60426667,156621.675775,190966.668908333,0.0531881265342236,0.0648515596985817,"AZ",6.48515596985817,8.13287477940321,"Arizona-Manufacturing-2018","31-33",23.2,20.2,21.7,"Arizona-2018",59.246,5.4,54.9,6.9,89.4,8.6,60.27
"9",2019,"Arizona","Manufacturing",9.47362035512924,86,"Total",2406,3027918.54814167,173812.259833333,214284.691583333,0.057403214275837,0.0707696378231049,"AZ",7.07696378231049,8.27529206871986,"Arizona-Manufacturing-2019","31-33",26,28.7,27.35,"Arizona-2019",62.055,5.1,55.5,7,88.7,9,62.91
"10",2020,"Arizona","Manufacturing",9.24318060278893,86,"Total",2168,2907798.10536666,154523.6328,206667.730116667,0.053141113370657,0.0710736140608788,"AZ",7.10736140608788,8.1752710044384,"Arizona-Manufacturing-2020","31-33",23.5,29.9,26.7,"Arizona-2020",61.529,5.8,55.2,7,89.4,8.9,68.53
"11",2021,"Arizona","Manufacturing",8.67823101580143,86,"Total",2146,3119894.87176667,167407.155225,208597.7769,0.0536579489707947,0.0668605118989944,"AZ",6.68605118989944,7.68214110285044,"Arizona-Manufacturing-2021","31-33",27.8,26.8,27.3,"Arizona-2021",69.056,5.8,55.4,7.8,89.3,9.6,66.68
"12",2018,"Arkansas","Manufacturing",9.78059358894825,71,"Total",2753,1175705.1239,56246.6522833334,61810.649175,0.0478407815098763,0.0525732599198818,"AR",5.25732599198818,7.51895979046822,"Arkansas-Manufacturing-2018","31-33",23.2,28.4,25.8,"Arkansas-2018",47.062,4.5,53.4,14.3,91.8,10.2,39.74
"13",2019,"Arkansas","Manufacturing",9.47362035512924,71,"Total",2656,1200676.72558333,61681.1446833333,70786.126275,0.0513719841837883,0.058955192565918,"AR",5.8955192565918,7.68456980586052,"Arkansas-Manufacturing-2019","31-33",26,27.7,26.85,"Arkansas-2019",48.952,4.8,53.9,13.8,90.9,10.5,40.8
"14",2020,"Arkansas","Manufacturing",9.24318060278893,71,"Total",2245,1157555.150425,54306.1935916667,68557.5122583334,0.0469145625829697,0.0592261292040348,"AR",5.92261292040348,7.5828967615962,"Arkansas-Manufacturing-2020","31-33",23.5,21,22.25,"Arkansas-2020",49.475,5.2,54,13.4,91.7,9.8,41.47
"15",2021,"Arkansas","Manufacturing",8.67823101580143,71,"Total",2255,1167660.68749167,45502.9813833334,51371.1932,0.0389693528413773,0.0439949668943882,"AR",4.39949668943882,6.53886385262012,"Arkansas-Manufacturing-2021","31-33",27.8,28.5,28.15,"Arkansas-2021",52.528,5.5,54.3,12.6,90.8,11.7,43.49
"16",2018,"California","Manufacturing",9.78059358894825,93,"Total",13404,16398370.4002001,2404888.44985834,2586603.03590834,0.146654114127159,0.157735377550125,"CA",15.7735377550125,12.7770656719804,"California-Manufacturing-2018","31-33",23.2,16,19.6,"California-2018",75.277,5.5,57.9,8.9,92.8,10.5,66.08
"17",2019,"California","Manufacturing",9.47362035512924,93,"Total",13173,16504474.0494167,2499478.58203333,2721644.01815833,0.151442483067513,0.164903402328491,"CA",16.4903402328491,12.9819802939892,"California-Manufacturing-2019","31-33",26,19.1,22.55,"California-2019",80.44,5.1,58.1,8.7,92.3,10.5,67.35
"18",2020,"California","Manufacturing",9.24318060278893,93,"Total",10839,15062871.3905,2438450.56179167,2651897.352425,0.161884844303131,0.176055237650871,"CA",17.6055237650871,13.424352183938,"California-Manufacturing-2020","31-33",23.5,16.4,19.95,"California-2020",78.672,6.2,57.8,9,92.8,10.3,71.25
"19",2021,"California","Manufacturing",8.67823101580143,93,"Total",11143,15501464.3853917,2468917.72435,2757650.44105833,0.159269973635674,0.177896127104759,"CA",17.7896127104759,13.2339218631387,"California-Manufacturing-2021","31-33",27.8,19.8,23.8,"California-2021",84.907,8.3,57.8,9,93,11.1,71.77
"20",2018,"Colorado","Manufacturing",9.78059358894825,84,"Total",2125,2562343.31134167,281098.263541666,306932.903091667,0.109703592956066,0.119786016643047,"CO",11.9786016643047,10.8795976266265,"Colorado-Manufacturing-2018","31-33",23.2,21.7,22.45,"Colorado-2018",71.953,3.9,63.4,6.5,92.5,7.4,56.65
"21",2019,"Colorado","Manufacturing",9.47362035512924,84,"Total",2014,2634087.76151667,238503.111625,260140.789783333,0.0905448645353317,0.0987593457102776,"CO",9.87593457102776,9.6747774630785,"Colorado-Manufacturing-2019","31-33",26,21.5,23.75,"Colorado-2019",77.127,3.7,63.1,6.8,92,7.2,59.17
"22",2020,"Colorado","Manufacturing",9.24318060278893,84,"Total",1766,2471596.83036667,182645.359241667,202160.328575,0.0738977119326591,0.0817934051156044,"CO",8.17934051156044,8.71126055717468,"Colorado-Manufacturing-2020","31-33",23.5,18.2,20.85,"Colorado-2020",75.231,4.6,63,6.8,92.2,7.4,62.72
"23",2021,"Colorado","Manufacturing",8.67823101580143,84,"Total",1841,2534734.13038334,164654.299766667,190792.707108333,0.0649591982364655,0.0752712860703468,"CO",7.52712860703468,8.10267981141806,"Colorado-Manufacturing-2021","31-33",27.8,26.1,26.95,"Colorado-2021",82.254,5.3,63,7,92,7.7,64.72
"24",2018,"Connecticut","Manufacturing",9.78059358894825,16,"Total",1752,1677130.09120833,267221.60205,280082.661716667,0.159332662820816,0.167001157999039,"CT",16.7001157999039,13.2403546944261,"Connecticut-Manufacturing-2018","31-33",23.2,24.1,23.65,"Connecticut-2018",76.348,5.5,61.7,10.6,94.7,7.9,65.44
