"","state_cens","sector","nobs","empl","member","covered","pctmem","pctcov","state2","unioncovpct_state","idvarstate","state","year","robotpct_state","stateyear","medianhouseinc","unemprate","femalepct","manufemp","healthins","oldage","wage_state"
"1",63,"Total",3024,1949296.08539166,180644.546125,196345.692308333,0.0926716849207878,0.100726455450058,"AL",10.0726455450058,"Alabama-2018","Alabama","2018",28,"Alabama-2018",49.861,5.6,51.9,14.1,90,10.3,44.6970833333333
"2",94,"Total",1831,298974.255375,55148.4185083334,59864.0525833334,0.184458747506142,0.200231462717056,"AK",20.0231462717056,"Alaska-2018","Alaska","2018",NA,"Alaska-2018",74.346,6.8,63.3,4.5,87.4,6.7,51.9178571428571
"3",86,"Total",2489,2944673.60426667,156621.675775,190966.668908333,0.0531881265342236,0.0648515596985817,"AZ",6.48515596985817,"Arizona-2018","Arizona","2018",20.2,"Arizona-2018",59.246,5.4,54.9,6.9,89.4,8.6,49.0868
"4",71,"Total",2753,1175705.1239,56246.6522833334,61810.649175,0.0478407815098763,0.0525732599198818,"AR",5.25732599198818,"Arkansas-2018","Arkansas","2018",28.4,"Arkansas-2018",47.062,4.5,53.4,14.3,91.8,10.2,42.2830434782609
"5",93,"Total",13404,16398370.4002001,2404888.44985834,2586603.03590834,0.146654114127159,0.157735377550125,"CA",15.7735377550125,"California-2018","California","2018",16,"California-2018",75.277,5.5,57.9,8.9,92.8,10.5,57.7228
"6",84,"Total",2125,2562343.31134167,281098.263541666,306932.903091667,0.109703592956066,0.119786016643047,"CO",11.9786016643047,"Colorado-2018","Colorado","2018",21.7,"Colorado-2018",71.953,3.9,63.4,6.5,92.5,7.4,54.4095833333333
"7",16,"Total",1752,1677130.09120833,267221.60205,280082.661716667,0.159332662820816,0.167001157999039,"CT",16.7001157999039,"Connecticut-2018","Connecticut","2018",24.1,"Connecticut-2018",76.348,5.5,61.7,10.6,94.7,7.9,56.59625
"8",51,"Total",1844,433455.143041666,44834.5977916667,46892.3861333333,0.103435382246971,0.108182787895203,"DE",10.8182787895203,"Delaware-2018","Delaware","2018",11.7,"Delaware-2018",64.805,5.7,58.3,8.9,94.3,6.1,52.0194736842105
"9",53,"Total",2963,354633.175233334,35225.5749083333,41256.4691416667,0.0993296131491661,0.116335615515709,"DC",11.6335615515709,"District of Columbia-2018",NA,NA,NA,"NA-NA",NA,NA,NA,NA,NA,NA,NA
"10",59,"Total",6662,8712508.57215834,484161.859558333,587641.159608334,0.0555708892643452,0.0674479827284813,"FL",6.74479827284813,"Florida-2018","Florida","2018",12.1,"Florida-2018",55.462,5.2,54.3,5.1,87,10.6,45.7548
"11",58,"Total",3626,4466531.372925,200070.250975,247747.1166,0.0447932034730911,0.0554674528539181,"GA",5.54674528539181,"Georgia-2018","Georgia","2018",23.3,"Georgia-2018",58.756,4.8,58.5,10.8,86.3,10.2,46.7816
"12",95,"Total",2339,601008.297466667,138853.887716667,145836.823475,0.231034889817238,0.242653593420982,"HI",24.2653593420982,"Hawaii-2018",NA,NA,NA,"NA-NA",NA,NA,NA,NA,NA,NA,NA
"13",82,"Total",2579,733077.860925,34244.0949083333,41403.6739,0.0467127673327923,0.0564792305231094,"ID",5.64792305231094,"Idaho-2018","Idaho","2018",20.3,"Idaho-2018",55.583,4,56.8,10.2,88.9,8.6,42.6082608695652
"14",33,"Total",4646,5693575.38190834,785965.815291667,839168.311583333,0.138044327497482,0.147388637065887,"IL",14.7388637065887,"Illinois-2018","Illinois","2018",24,"Illinois-2018",65.03,5.5,60.7,11.8,93,8.8,53.84
"15",32,"Total",2846,3051383.4439,269025.4675,283151.830283333,0.0881650820374489,0.0927945747971535,"IN",9.27945747971535,"Indiana-2018","Indiana","2018",29.8,"Indiana-2018",55.746,4.4,59.3,19.4,91.7,7.9,47.0392
"16",42,"Total",1972,1461068.83728334,112771.035675,129144.088025,0.0771839320659637,0.0883901491761208,"IA",8.83901491761208,"Iowa-2018","Iowa","2018",31.4,"Iowa-2018",59.955,3.6,62.7,15.1,95.3,7.1,45.7095454545455
"17",47,"Total",2079,1284599.49406667,90558.4891166667,129282.525666667,0.0704955011606216,0.100640334188938,"KS",10.0640334188938,"Kansas-2018","Kansas","2018",31,"Kansas-2018",58.218,3.8,61.4,12.3,91.2,8,46.7930434782609
"18",61,"Total",1876,1810365.73865001,160209.401175,206137.28885,0.088495597243309,0.113864995539188,"KY",11.3864995539188,"Kentucky-2018","Kentucky","2018",32,"Kentucky-2018",50.247,5.2,54.8,13.9,94.4,10.2,46.0566666666667
